date,Unnamed: 0,clicks_ads,conversions_ads,cost_micros_ads,engagements_ads,impressions_ads,interactions_ads,interaction_rate_ads,average_cpm_ads,ctr_ads,average_cpc_ads,conversions_value_ads,value_per_conversion_ads,engagement_rate_ads,average_cost_ads,cost_per_conversion_ads,average_cpe_ads,transactions_anal,transactionRevenue_anal,sessions_anal,impressions_anal,adClicks_anal,adCost_anal
2021-05-31,465,346522,1658.0,1184214.398,105028,19851722,444523,3.9196885009056612,19734717039.327972,3.5869061990700244,101980820.7443706,0.0,0.0,0.932166734051051,86598284.62691498,627025049.2001922,3555315.764897778,8999,3200738.85,989378,105148048,1303861,4042128.9
2021-06-30,1365,141354,1808.2359999999994,858247.5379999998,124973,8087220,259341,3.7703461028891545,15718242383.509396,3.428584636186331,82827092.7959095,4.750518082217094,10.737522951070657,1.18393594664647,69097710.99440043,510080750.2037083,3869416.8120927643,8404,3078141.730000001,963507,121508260,1428074,2817542.82
2021-07-31,2356,146407,2101.1100000000006,1029044.596,88376,7366992,230588,3.0708593259272363,14074847045.54659,2.8486319428789586,85432404.68609436,8.90575269966237,13.792076169159083,0.7061623425884479,74953405.02334383,444822670.36488026,1761420.7327830705,8495,2910718.879999999,889622,129350247,1409733,2615291.4
2021-08-31,3074,131695,2255.061,1199747.346,164376,5939399,287992,2.160829866172151,14055051334.591335,1.9411797332623648,126465747.77419928,20.015828377798513,16.80541026196405,0.41241848925050284,107562946.06572218,371588147.55626833,2306319.843980573,9741,3246495.3099999996,870353,178468440,1805591,3578094.04
2021-09-30,4065,162024,1376.1609999999998,1356936.4899999995,113526,8547897,269808,2.4068456564145366,17096411356.022478,2.2651044284842836,174127906.0315517,5.395535150141699,8.213721118234636,0.37727453527171717,156318110.25182062,256936744.15034124,3118440.010099939,11276,3960205.8600000003,981718,137323551,1544666,3702509.3900000006
2021-10-31,5146,224201,1932.5780000000002,1529943.08,344519,21896393,547418,3.155666823544492,16640127424.102148,2.6312174354702287,186233782.7755762,21.351011554766632,54.50294483411655,0.7512655731572725,92060820.71557307,1248445224.915135,12609470.017508866,10615,3275971.55,729663,169912498,1685716,4623069.67
2021-11-30,5895,166551,3226.312,1567358.1589999995,273933,7501905,409881,3.3397933601513814,17365530171.79957,2.9992179331366384,162709290.97431615,385.9193228457361,127.34622558224133,0.5082092976203056,115313741.78050828,1014276559.6803857,7924096.815769587,13004,4135026.190000001,927335,103699499,1353244,3911178.7599999993
2021-12-31,6554,133153,1985.8200000000006,1979368.8070000003,149498,5061453,270071,3.1910345813155367,39690506989.943665,2.5371955271852342,287571367.0166307,334.03817900698147,169.56427569075345,0.7713636513732957,230265962.40426672,1258692744.3745,9907177.21336891,13684,4779379.66,1268143,142092582,1711532,6599514.769999999
2022-01-31,970,8885,104.842,69651.15599999999,5092,285222,13635,0.4222235910426928,1826308492.923031,0.3182755373771577,19576746.642747305,3.9858683214507016,4.043313408155904,0.1161152508671662,15652460.309231117,58466204.413175344,1208715.4566958174,1060,301890.33,49019,1812465,25872,105137.44
