date,clicks_ads,cost_micros_ads,impressions_ads,transactions_anal,transactionRevenue_anal,sessions_anal,adCost_anal
2021-05-02,2309,5516.0470000000005,88159,276,98118.7,18142,18978.67
2021-05-09,13565,59087.67599999999,207016,1790,621280.3,64531,112754.01000000001
2021-05-16,19202,106363.57199999999,452326,1707,577329.79,116310,267294.1
2021-05-23,168246,385066.47900000005,9246401,1977,663238.3200000001,351882,932646.2499999999
2021-05-30,133996,512788.0300000001,9331638,2697,1016291.0800000001,370256,2201183.2600000002
2021-06-06,35212,289396.9229999999,1833414,1982,716583.44,191420,918775.3299999998
2021-06-13,19117,86331.94299999998,466991,2049,743498.2999999999,213629,585340.16
2021-06-20,16566,89992.72699999998,372105,2000,751380.2999999999,171084,517860.1699999999
2021-06-27,53214,332576.85099999997,3900353,1925,727342.75,276689,883123.2500000001
2021-07-04,47649,303987.3779999999,3578894,1810,681220.6299999999,232762,619642.7799999999
2021-07-11,14892,84777.80099999999,269951,1773,587273.8099999999,67878,194627.37999999998
2021-07-18,14308,63896.0,201455,2014,683414.8599999999,79192,220978.68
2021-07-25,51134,374777.4889999999,2796596,1940,618406.3500000001,348918,1083135.5500000003
2021-08-01,44873,376947.6160000001,2560635,1958,704220.83,339814,918623.5299999999
2021-08-08,18128,155874.789,760217,1721,547057.82,144481,429951.89999999997
2021-08-15,20381,143785.136,398621,2318,778353.3000000002,178816,637803.0000000002
2021-08-22,37446,341502.409,1929701,2386,763459.7200000001,227544,818953.3500000001
2021-08-29,43192,423498.43100000004,2214040,2331,808205.7000000001,249854,1296204.88
2021-09-05,42749,401049.49600000004,2110092,2429,817987.4999999999,237140,876629.4800000001
2021-09-12,49395,404765.198,2714597,2365,786327.1900000001,244829,765980.4099999999
2021-09-19,36179,319294.17899999995,2315003,2171,764736.7499999999,221115,788633.48
2021-09-26,26727,242044.926,1048905,3133,1283421.85,204717,789764.0899999997
2021-10-03,38164,213634.84100000001,3019234,2716,835305.9199999999,206906,1268263.6500000004
2021-10-10,43031,173286.371,4792568,2169,705921.6399999999,159054,939550.8999999999
2021-10-17,65244,695398.876,7223764,2516,781925.9800000001,176322,1396518.3599999999
2021-10-24,54932,376656.59200000006,4871873,2923,764604.92,173895,1071161.2200000002
2021-10-31,42352,195835.672,2985074,2454,845364.43,157061,824258.38
2021-11-07,46999,181451.47699999996,3389095,2002,616826.9299999999,163629,752832.6
2021-11-14,38476,409708.67299999984,1302913,3881,1274596.0,195792,908675.7799999998
2021-11-21,56886,778897.1840000001,2626176,2632,856571.2000000001,265759,1531270.5399999996
2021-11-28,18084,148940.45500000002,143736,3268,1035046.06,237153,570494.06
2021-12-05,19412,231347.17199999996,618973,2488,851835.3100000003,154529,590191.4700000002
2021-12-12,49719,520862.537,1846181,3147,1017180.4299999999,246148,2039387.53
2021-12-19,33544,609705.0780000002,1427447,3721,1357932.6800000002,247989,1678122.6599999997
2021-12-26,19509,534575.009,682902,2845,1024743.8700000001,380450,1916558.3100000003
2022-01-02,21685,168436.96499999997,737386,2953,956613.3199999998,324119,560507.1100000002
2022-01-09,4275,32453.572,73771,811,224950.38,28929,67790.91
